№	Context	Dominant response	Number of completions	Ommitted completions or no completion	Number of unique responses	Alternative completions	Percentage of ending agreement %EA	H-statistic	Frequency (ipm)	Number of syllables	ART	ART'
53	Класс отправился с экскурсией в	музей	86	0	42	музей 32, Москву 5, зоопарк 4, поход 3, Кремль 2, театр 2, планетарий 2, другой город 2, дом отдыха 1, сад 1, Японию 1, Крым 1, Петергоф 1, лес 1, шоколадную фабрику 1, море 1, Кисловодск 1, ресторан 1, Константинополь 1, Тарханы 1, школу 1, пригород 1, университет 1, Палеонтологический музей 1, Минск 1, Карелию 1, санаторий 1, Петербург 1, Польшу 1, Тибет 1, Америку 1, горы 1, Каргополь 1, пещеру 1, Ростов-на-Дону 1, Эстонию 1, Санкт-Петербург 1, Магадан 1, Париж 1, Новгород 1, Казань 1, Монино 1	37.209302	4.189468	87.0	2	1669.837209	1452.441860
54	Открывая дверь, секретарша случайно уронила	вазу	85	1	29	вазу 11, ручку 10, бумаги 7, ключи 7, кофе 6, поднос 5, стул 5, цветок 3, стакан 3, чашку 3, ключ 2, папки 2, пресс-папье 2, кружку 2, папку 2, чай 2, картину 1, чайник 1, принтер 1, компьютер 1, деньги 1, документы 1, почту 1, дверь 1, степлер 1, кольцо 1, посуду 1, презервативы 1, шкаф 1	12.941176	4.343865	14.3	2	2222.400000	2069.411765
55	В доме узбечка монотонно ткала	ковер	84	2	21	ковер 39, полотно 9, пряжу 5, ткань 4, платье 3, платок 3, одежду 3, холст 2, плед 2, шарф 2, шаль 2, вещи 1, одеяло 1, рубашку 1, ковры 1, шерсть 1, рушник 1, полотенце 1, паранжу 1, халат 1, скатерть 1	46.428571	3.100242	29.5	2	2729.797619	2563.559524
56	Дворник выбросил обёртку в	урну	84	2	17	урну 32, мусорку 23, мусор 8, мусорный бак 5, мусорное ведро 3, ведро 2, мешок 1, окно 1, помойку 1, мусорный ящик 1, контейнер 1, мусорный 1, корзину 1, унитаз 1, мусоропровод 1, ящик 1, мусорник 1	38.095238	2.744622	7.8	2	1392.547619	1242.845238
57	Девушка вплела в волосы	ленту	84	2	20	ленту 28, цветок 14, цветы 11, ленты 6, ленточку 4, заколку 3, косу 2, резинку 2, ленточки 2, венок 2, солому 1, бусы 1, пряди 1, бантики 1, ромашку 1, тесьму 1, косичку 1, нитки 1, чужой локон 1, змею 1	33.333333	3.270564	35.9	2	2028.845238	1887.630952
58	Соседка одолжила у меня	соль	85	1	29	соль 31, деньги 14, денег 7, сахар 4, фен 3, телефон 2, ключи 2, градусник 1, велосипед 1, кофточку 1, платье 1, блокнот 1, марки 1, кастрюлю 1, зубную пасту 1, кружку 1, нож 1, сигареты 1, стул 1, часы 1, рубль 1, соли 1, муку 1, электрочайник 1, пенал 1, фломастер 1, шприц 1, сто рублей 1, карандаш 1	36.470588	3.547162	39.4	1	1894.670588	1727.600000
59	Посетитель вошёл и робко сел на	стул	85	1	13	стул 49, диван 13, скамейку 6, кушетку 3, кресло 3, краешек стула 2, банкетку 2, табурет 2, стол 1, лестнице 1, колени 1, подоконник 1, лавочку 1	57.647059	2.241790	87.6	1	1369.470588	1287.070588
60	Учитель искренне похвалил	ученика	84	2	22	ученика 46, ученицу 6, меня 4, студента 4, работу 4, учеников 4, жену 1, себя 1, маму 1, своего ассистента 1, Валеру 1, школьника 1, мальчика 1, воспитанника 1, маму ученика 1, подчиненную 1, студентку 1, своего ученика 1, другого 1, Васю 1, за хорошую работу 1, хулигана 1	54.761905	2.801917	80.4	4	1906.690476	1747.464286
61	После обеда Ваня допил вишнёвый	сок	86	0	8	сок 39, компот 31, морс 6, сироп 3, сидр 3, коктейль 2, кисель 1, чай 1	45.348837	1.929401	35.8	1	1600.255814	1517.406977
62	Тётушка распускала старомодную	кофту	84	2	31	кофту 15, прическу 11, шаль 10, косу 9, юбку 5, шутку 4, сплетню 2, байку 2, болтовню 2, пряжу 2, одежду 2, вещь 1, платье 1, лампу 1, штору 1, сумку 1, вязь 1, жилетку 1, речь 1, шевелюру 1, плесень 1, сумочку 1, тюль 1, безрукавку 1, шляпу 1, вышивку 1, газету 1, песню 1, выдумку 1, герань 1, скатерть 1	17.857143	4.154039	7.7	2	3306.988095	3098.226190
63	Продавец доверху наполнил пластиковый	стакан	86	0	8	стакан 37, пакет 32, контейнер 7, стаканчик 5, мешок 2, башмак 1, горшок 1, сосуд 1	43.023256	1.937766	72.8	2	1893.883721	1763.581395
64	После еды сержант облизал походную	ложку	86	0	16	ложку 52, тарелку 7, миску 6, вилку 4, кастрюлю 3, чашку 2, форму 2, кружку 2, женщину 1, рубашку 1, флягу 1, кровать 1, руку 1, посуду 1, палатку 1, трубку 1	60.465116	2.352555	40.5	2	2369.511628	2214.209302
65	Перед выходом девочка надела шерстяные	носки	86	0	11	носки 63, варежки 9, колготки 4, перчатки 2, чулки 2, рейтузы 1, носочки 1, гольфы 1, тапочки 1, трусы 1, гольфики 1	73.255814	1.576288	25.2	2	1681.534884	1558.383721
66	Бабушка замёрзла и закуталась в тёплый	плед	86	0	14	плед 53, шарф 13, платок 7, пиджак 2, свитер 2, кошелек 1, саван 1, кафтан 1, мех 1, спальник 1, пододеяльник 1, кардиган 1, пуховик 1, халат 1	61.627907	2.061881	4.8	1	1640.569767	1424.732558
67	Сестра купила в посудном магазине фарфоровую	чашку	86	0	16	чашку 37, вазу 9, тарелку 8, куклу 7, статуэтку 7, посуду 4, кружку 3, чашу 3, игрушку 1, шляпу 1, статую 1, супницу 1, салатницу 1, лампу 1, утварь 1, чашечку 1	43.023256	2.913569	33.3	2	2035.523256	1918.709302
68	Бывшие коллеги вспоминают друг друга с горькой	усмешкой	86	0	23	усмешкой 15, тоской 9, обидой 8, досадой 8, улыбкой 7, радостью 6, правдой 4, ненавистью 4, печалью 4, ностальгией 3, ухмылкой 3, грустью 2, иронией 2, слезой 2, усталостью 1, участью 1, совестью 1, сожалением 1, слезинкой 1, ноткой 1, болью 1, завистью 1, теплотой 1	17.441860	3.986687	13.2	3	3031.174419	2888.720930
69	Маша связала свитер из тёплой	шерсти	85	1	5	шерсти 70, пряжи 10, ткани 3, козы 1, пряди 1	82.352941	0.914991	16.9	2	1782.564706	1672.741176
70	В пути пассажир читал увлекательную	книгу	83	3	11	книгу 45, газету 11, историю 10, книжку 6, повесть 3, поэму 2, пьесу 2, литературу 1, карикатуру 1, заметку 1, брошюру 1	54.216867	2.246472	413.9	2	1774.602410	1679.216867
71	Графиня прятала записку в деревянном	ящике	85	1	19	ящике 23, сундуке 21, шкафу 17, комоде 4, сундучке 3, ларце 3, столе 2, коробке 1, саквояже 1, сарае 1, чехле 1, саркофаге 1, брелке 1, сейфе 1, башмаке 1, поддоне 1, ларчике 1, секретере 1, шкафчике 1	27.058824	3.053188	75.4	3	2151.905882	1986.823529
72	Первоклассник украшал ёлку яркими	игрушками	86	0	15	игрушками 27, шарами 17, гирляндами 16, шариками 13, фонариками 3, бантами 1, камнями 1, лентами 1, огнями 1, звездочками 1, звездами 1, снежинками 1, огоньками 1, словами 1, красками 1	31.395349	2.766620	30.9	4	1815.104651	1699.779070
73	Музыкант играл на старинной	скрипке	84	2	13	скрипке 31, гитаре 13, флейте 10, арфе 9, трубе 5, виолончели 5, гармошке 3, лютне 2, балалайке 2, гармонике 1, цитре 1, шарманке 1, дуде 1	36.904762	2.875549	18.4	2	1977.107143	1872.059524
74	В сентябре директор школы взял на работу нового 	учителя	86	0	19	учителя 25, сотрудника 22, преподавателя 16, педагога 4, уборщика 3, ученика 2, стажера 2, заместителя 1, трудовика 1, сторожа 1, бегемота 1, завуча 1, программиста 1, физрука 1, секретаря 1, бухгалтера 1, ассистента 1, друга 1, дворника 1	29.069767	2.996511	113.8	4	1529.081395	1385.465116
75	Школьники боялись заблудиться в незнакомом	месте	86	0	9	месте 40, лесу 25, городе 13, районе 3, парке 1, замке 1, доме 1, лабиринте 1, здании 1	46.511628	1.986333	926.6	2	1741.662791	1553.872093
76	Ровно в девять вечера бабушка ложится в тёплую	кровать	86	0	4	кровать 43, постель 35, ванну 5, кроватку 3	50.000000	1.435348	88.4	2	1556.813953	1458.046512
77	Зрители отзывались о пьесе с искренним	восторгом	86	0	16	восторгом 39, восхищением 16, удовольствием 8, удивлением 7, недоумением 3, недовольством 2, сожалением 2, отвращением 1, интересом 1, изумлением 1, неудовольствием 1, радушием 1, отзывом 1, чувством 1, удовлетворением 1, уважением 1	45.348837	2.675834	56.2	3	2117.011628	1929.918605
78	Мама увлечённо выращивала комнатные	растения	86	0	3	растения 63, цветы 22, помидоры 1	73.255814	0.906775	94.4	4	1585.116279	1392.558140
79	За чаем друг рассказывал смешные	истории	84	2	3	истории 63, анекдоты 20, сказки 1	75.000000	0.880327	443.9	4	1433.726190	1287.119048
80	Девочка гладила пушистую	кошку	86	0	12	кошку 73, собаку 3, мышку 1, лошадь 1, козу 1, подушку 1, киску 1, рубашку 1, варежку 1, жилетку 1, шкуру 1, лисичку 1	84.883721	1.116822	50.4	2	1799.290698	1671.988372
81	В командировки военный брал с собой	жену	85	1	39	жену 11, чемодан 9, пистолет 7, фотографию 6, рюкзак 4, документы 4, нож 4, автомат 3, вещи 2, флягу 2, письмо 2, пулемет 2, портфель 2, бритву 2, мишку 1, еду 1, фотографию жены 1, планшет 1, телефон 1, кошелек 1, полотенце 1, сухари 1, фотографии 1, паспорт 1, бумажник 1, штаны 1, письма 1, дневник 1, вино 1, оружие 1, собаку 1, самое необходимое 1, шинель 1, разговорник 1, шубу 1, книгу 1, билеты 1, семью 1, фотоаппарат 1	12.941176	4.732930	376.8	2	2355.282353	2273.670588
82	По заданию педагога студент чертит	чертеж	85	1	24	чертеж 27, круг 13, окружность 7, график 6, треугольник 5, квадрат 5, проект 2, чертежи 2, схему 2, линию 2, прямоугольник 1, на бумаге 1, колесо 1, деталь 1, проекции 1, карту 1, параллелепипед 1, дом 1, диаграмму 1, круги 1, планометрическую проекцию 1, модель 1, пентограмму 1, макет 1	31.764706	3.552118	17.0	2	2433.800000	2336.505882
83	Перед праздником секретарша украсила	кабинет	86	0	17	кабинет 29, офис 16, стол 12, елку 11, дверь 3, зал 2, комнату 2, окна 2, начальника 1, себя 1, замок 1, сад 1, стену 1, рабочее место 1, свою голову 1, стены 1, свой дом 1	33.720930	2.976153	148.5	3	2209.209302	2020.348837
84	Во дворе мальчишки весело играют в	футбол	86	0	19	футбол 25, прятки 20, мяч 9, догонялки 6, классики 4, волейбол 3, салки 3, игру 2, шахматы 2, бадминтон 2, хоккей 2, пол 1, войну 1, покер 1, баскетбол 1, грязи 1, снежки 1, лапту 1, бильярд 1	29.069767	3.262499	27.4	2	1190.081395	1099.627907
85	Неловкий официант споткнулся и пролил чай на	посетителя	86	0	27	посетителя 17, скатерть 13, клиента 9, пол 8, гостя 5, стол 4, себя 4, брюки 3, посетителей 2, женщину 2, штаны 2, гостей 2, голову соседу 1, ноги 1, посетительницу 1, нас 1, мужчину 1, борщ 1, девушку 1, ковер 1, пальто 1, рубашку 1, платье 1, паркет 1, голову человека 1, вино 1, юбку 1	19.767442	3.978748	36.2	5	1421.546512	1332.813953
86	Троечник неожиданно удачно написал контрольную работу по	математике	84	2	14	математике 53, физике 5, геометрии 5, русскому 4, алгебре 4, истории 2, биологии 2, русскому языку 2, географии 2, электродинамике 1, информатике 1, английскому 1, естествознанию 1, химии 1	63.095238	2.216138	28.0	5	1287.404762	1193.190476
87	Бухгалтер нещадно критикует себя за	ошибку	86	0	37	ошибку 22, ошибки 8, оплошность 6, невнимательность 4, отчет 4, медлительность 3, работу 3, лень 2, все 2, неточности 2, провал 2, просчет 2, тупость 2, расторопность 1, халатность 1, недосдачу 1, дибилизм 1, неаккуратность 1, недосчет 1, несправедливость 1, проказы 1, расчет 1, поведение 1, невежество 1, недобросовестность 1, годовой отчет 1, косяки 1, безответственность 1, недостачу 1, неудачу 1, опоздание 1, глупость 1, непослушание 1, неправильные расчеты 1, что-то 1, работой 1, нерасторопность 1	25.581395	4.389904	104.4	3	2018.581395	1891.651163
88	Консьержка раз в месяц мыла	окна	86	0	19	пол 20, окна 20, полы 17, подъезд 9, посуду 3, лестницу 2, парадную 2, раму 2, голову 1, ноги 1, стойку 1, мужа-инвалида 1, лестничную клетку 1, руки 1, вазу 1, площадку 1, полы в подъезде 1, лифт 1, окно 1	23.255814	3.151286	280.8	2	2050.348837	1945.558140
89	Семейная пара мечтала следующим летом отдохнуть в	Турции	86	0	43	Турции 12, Крыму 10, горах 7, Испании 6, Сочи 4, Италии 4, Египте 3, санатории 3, Китае 2, деревне 2, Азии 1, коттедже 1, Одессе 1, Таиланде 1, Европе 1, городе 1, Праге 1, Африке 1, Ялте 1, Грузии 1, Голландии 1, Болгарии 1, Анапе 1, Исландии 1, Тибете 1, Париже 1, Лондоне 1, Норвегии 1, лесу 1, Новой Зеландии 1, Америке 1, Карелию 1, Англии 1, пансионате 1, Франции 1, саду 1, Японии 1, Волгограде 1, одиночестве 1, Новосибирске 1, Бали 1, другой стране 1, Нью-Йорке 1	13.953488	4.787778	NA	3	1840.802326	1735.104651
90	В зоопарке дети впервые увидели	слона	83	3	31	слона 23, жирафа 15, зебру 7, льва 5, крокодила 3, тигра 3, слонов 2, обезьяну 2, лошадь 1, фламинго 1, взрослых 1, медведя 1, носорога 1, мамонта 1, гиппопотама 1, леопарда 1, панду 1, мангуста 1, шимпанзе 1, змею 1, верблюда 1, ламу 1, лося 1, пингвина 1, стрекозу 1, животное 1, игуану 1, кенгуру 1, енота 1, свиней 1, рысь 1	27.710843	3.876049	23.8	2	1743.120482	1636.481928
91	На рынке фермер недорого продавал 	овощи	85	1	40	овощи 11, огурцы 7, капусту 5, молоко 5, фрукты 5, помидоры 5, картошку 4, рыбу 4, яблоки 2, зелень 2, морковку 2, картофель 2, мясо 2, арбузы 2, дыни 2, мандарины 1, булки 1, капустку 1, шерсть 1, эскимо 1, овес 1, клубнику 1, репу 1, укроп 1, козу 1, свинину 1, пряники 1, тыквы 1, кабачки 1, бананы 1, ягоды 1, мебель 1, кур 1, чеснок 1, удочки 1, поросят 1, тыкву 1, яиц 1, колбасу 1, корову 1	12.941176	4.831229	1.6	3	1917.282353	1775.082353
92	Посетители радостно фотографировались на фоне	памятника	84	2	50	памятника 9, фонтана 4, елки 4, картины 4, Эйфелевой башни 3, достопримечательностей 3, замка 3, башни 3, деревьев 2, пейзажа 2, дома 2, Кремля 2, водопада 2, выставки 2, слона 2, заката 2, статуи 2, меня 1, берез 1, асфальта 1, лебедя 1, зоопарка 1, генерала 1, пожара 1, стола 1, вольера 1, айзберга 1, гор 1, обезьянки 1, китайцев 1, библиотеки 1, крокодила 1, мэра 1, Красной Площади 1, облаков 1, звезды 1, достопримечательности 1, фонана 1, дворца 1, скамьи 1, музея 1, борща 1, моря 1, местных достопримечательностей 1, карет 1, сада 1, дерева 1, озера 1, здания 1, чучела 1	10.714286	5.326259	63.8	4	2354.440476	2151.309524
93	Депутат обвинил мэра в	коррупции	83	3	30	коррупции 30, воровстве 6, взятке 4, лжи 4, взяточничестве 3, мошенничестве 3, измене 3, краже 3, растрате 2, халатности 2, преступлении 2, некомпетентности 2, взяточнистве 2, взятничестве 1, подлоге 1, махинациях 1, растратах 1, недостаточном усердии 1, нечестности 1, проступке 1, расточительстве 1, тунеядстве 1, превышении полномочий 1, предательстве 1, мздоимстве 1, взятках 1, изнасиловании 1, кокетничестве 1, мошинничестве 1, недобропорядочности 1	36.144578	3.872196	23.0	4	1916.120482	1839.349398
