№	Context	Dominant response	Number of completions	Ommitted completions or no completion	Number of unique responses	Alternative completions	Percentage of ending agreement %EA	H-statistic	Frequency (ipm)	Number of syllables	ART	ART'
26	На экзамене студент допустил досадную	ошибку	171	1	6	ошибку 153, оплошность 12, описку 3, оговорку 1, промашку 1, помарку 1	89.473684	0.645018	104.4	3	1782.929825	1634.409357
27	Начальник резко высказал своё	мнение	171	1	14	мнение 112, недовольство 26, неудовольствие 8, негодование 8, неодобрение 5, недоумение 2, фе 2, отношение 2, презрение 1, пожелание 1, возмущение 1, отвращение 1, работникам 1, предложение 1	65.497076	1.860865	228.4	3	1683.871345	1522.169591
28	В новом семестре студенты приступили к изучению испанского	языка	172	0	4	языка 169, уха 1, барокко 1, алфавита 1	98.255814	0.154470	324.9	3	1794.587209	1545.517442
29	Часто дети богатых родителей учатся в частных	школах	171	1	13	школах 134, колледжах 7, заведениях 7, гимназиях 5, учреждениях 3, пансионах 3, университетах 3, вузах 2, пансионатах 2, учебных заведениях 2, актерских 1, институтах 1, домах 1	78.362573	1.464442	316.0	2	1770.649123	1609.491228
30	Девочки хором пели весёлую	песню	171	1	7	песню 140, песенку 23, частушку 3, мелодию 2, песнь 1, колыбельную 1, забавную песню 1	81.871345	0.933078	160.1	2	1682.859649	1577.643275
31	Именинник налил в стакан апельсиновый	сок	172	0	7	сок 164, фреш 2, ликер 2, грог 1, отвар 1, напиток 1, чай 1	95.348837	0.387669	35.8	1	1790.889535	1664.470930
32	Брат прислушался и услышал из соседней комнаты женский	голос	171	1	13	голос 83, крик 36, смех 17, плач 16, стон 6, визг 3, вопль 3, шепот 2, разговор 1, хохот 1, голосок 1, оргазмический звук 1, вздох 1	48.538012	2.296496	424.5	2	1717.760234	1557.169591
33	Начинающий актёр мечтал сняться хотя бы в каком-нибудь	фильме	171	1	16	фильме 85, сериале 32, эпизоде 27, кино 11, клипе 2, порно 2, спектакле 2, боевике 2, порнофильме 1, ролике 1, эпизодике 1, ток-шоу 1, рекламном ролике 1, трейлере 1, кинофильме 1, водевиле 1	49.707602	2.276134	196.8	2	2004.397661	1834.421053
34	Марина взяла пульт и выключила надоевший	телевизор	170	2	12	телевизор 130, сериал 11, канал 9, фильм 8, компьютер 4, первый канал 2, магнитофон 1, радиоприемник 1, телесериал 1, микрофон 1, телефон 1, видеомагнитофон 1	76.470588	1.447680	72.3	4	2133.888235	1895.329412
35	Сиделка сварила для больного куриный	бульон	172	0	4	бульон 130, суп 39, бульончик 2, гуляш 1	75.581395	0.908599	12.2	2	1490.674419	1221.750000
36	Моя двоюродная сестра учится на химическом	факультете	172	0	11	факультете 154, отделении 4, институте 4, университете 3, техникуме 1, ВУЗе 1, колледже 1, профиле 1, на бухгалтера 1, заводе 1, классе 1	89.534884	0.799288	31.7	4	2057.848837	1854.540698
37	Невропатолог прописал мне успокоительные	таблетки	169	3	13	таблетки 98, лекарства 26, капли 19, средства 8, пилюли 6, препараты 4, таблеточки 2, развлечения 1, микстуры 1, антидепрессанты 1, медикаменты 1, на дом 1, настои 1	57.988166	2.071451	21.2	3	2216.733728	2119.792899
38	Жених подарил бриллиантовое кольцо своей	невесте	171	1	14	невесте 144, возлюбленной 8, жене 5, любимой 2, девушке 2, подруге 2, бухгалтерше 1, соседке 1, знакомой 1, избраннице 1, невестке 1, маме 1, любовнице 1, будущей жене 1	84.210526	1.136690	31.7	3	1579.643275	1456.467836
39	Сергей размешивал чай серебряной	ложкой	171	1	4	ложкой 138, ложечкой 27, вилкой 5, кружке 1	80.701754	0.862484	40.5	2	1655.228070	1569.766082
40	Житель дома решил написать мэру анонимное	письмо	170	2	6	письмо 141, послание 15, обращение 8, сообщение 4, заявление 1, признание 1	82.941176	0.954802	304.3	2	1861.700000	1769.135294
41	По утрам почтальон неспешно разносит	почту	172	0	15	почту 84, газеты 32, письма 31, корреспонденцию 9, газету 3, прессу 3, журналы 2, вести 1, магазин 1, утреннюю корреспонденцию 1, объявления 1, бумаги 1, конверты 1, открытки 1, кабину 1	48.837209	2.248510	27.2	2	2021.093023	1785.656977
42	Крестьянин вчера усердно полол	грядки	172	0	26	грядки 69, огород 27, грядку 21, траву 11, картошку 7, морковь 7, сорняки 4, поле 4, капусту 3, морковку 3, пшеницу 1, клубнику 1, редиску 1, землю 1, клумбу 1, дрова 1, снопы 1, сныть 1, газон 1, полынь 1, брюкву 1, овес 1, свой огород 1, растения 1, сорняк 1, лук 1	40.116279	3.095013	8.1	2	2546.418605	2350.139535
43	В начале занятия ученик лениво открыл	тетрадь	172	0	20	тетрадь 51, учебник 39, книгу 30, дневник 12, дверь 11, портфель 4, книжку 4, тетрадку 4, рот 3, ранец 2, форточку 2, глаза 2, свою тетрадь 1, рукопись 1, пенал 1, парту 1, бутылку 1, журнал 1, учебники 1, букварь 1	29.651163	3.016618	23.5	2	1984.959302	1833.273256
44	На лугу пастушка неумело стригла	овец	168	4	22	овец 56, овцу 31, траву 29, газон 17, козу 6, овечку 4, травку 3, ногти 2, волосы 2, коз 2, цветы 2, кусты 2, барашка 2, барана 2, пастуха 1, шерсть 1, козочку 1, овечек 1, барашку 1, ягненка 1, барашков 1, мальчика 1	33.333333	3.038598	17.5	2	2544.511905	2341.505952
45	Воспитанница с гувернанткой учили наизусть	стихотворение	169	3	19	стихотворение 69, стихи 56, стих 8, поэму 6, стихотворения 6, Пушкина 5, стишок 3, французский 3, пьесу 2, язык 2, танец 1, поэмы 1, немецкий 1, тексты 1, алфавит 1, поэзию 1, вдохновение 1, математику 1, стихотворние 1	40.828402	2.508341	48.7	6	1916.035503	1735.278107
46	Актриса мечтает похудеть и отказывается от	еды	170	2	38	еды 57, сладкого 36, пищи 8, мучного 8, пирожных 6, хлеба 5, ужина 5, жирного 5, мороженого 3, пирожного 3, торта 3, обеда 2, сладостей 2, сахара 2, тортиков 2, жирной пищи 1, котлет 1, сладкой пищи 1, каши 1, булки 1, шоколадок 1, жареного 1, работы 1, теста 1, плюшек 1, мучной пищи 1, блинов 1, мяса 1, булочек 1, всего 1, свинины 1, десерта 1, соленого 1, завтрака 1, жирной 1, роли 1, сиропа 1, приема пищи 1	33.529412	3.649418	56.9	2	1682.870588	1317.000000
47	За старательную работу директор выплатил сотрудникам	премию	170	2	16	премию 130, премии 10, гонорар 5, зарплату 3, пенсию 3, премиальные 3, деньги 3, компенсацию 3, аванс 2, бонус 2, награждение 1, вознаграждение 1, денежное вознаграждение 1, прибавку 1, примии 1, ничего 1	76.470588	1.612266	56.2	3	2049.741176	1874.323529
48	Сосед любит зимой кататься на	лыжах	171	1	16	лыжах 82, коньках 46, санках 22, санях 4, велосипеде 4, сноуборде 2, роликах 2, снегоходе 1, качелях 1, катке 1, жене 1, машине 1, квадроцикле 1, скутере 1, ледянке 1, карусели 1	47.953216	2.192644	18.3	2	1173.929825	1018.865497
49	Отдыхающие загорали и купались в	море	171	1	21	море 81, озере 28, реке 20, речке 10, пруду 9, бассейне 5, океане 3, парке 2, луже 1, пансионате 1, сапогах 1, Турции 1, пляже 1, Азовском море 1, санатории 1, Крыму 1, плавках 1, месте 1, Черном море 1, Серебряном бору 1, ванной 1	47.368421	2.653610	159.5	2	1605.836257	1350.918129
50	Бабушка испекла вкусные пирожки с 	капустой	172	0	38	капустой 32, повидлом 26, мясом 22, вишней 11, яблоком 9, изюмом 8, яблоками 8, картошкой 7, малиной 7, вареньем 6, творогом 5, грибами 4, джемом 2, корицей 1, повидлой 1, клубникой 1, морковкой 1, яйцом и луком 1, рисом 1, курицей 1, грушей 1, тыквой 1, ягодами 1, монетками 1, медом 1, яйцом 1, черникой 1, морошкой 1, луком 1, сыром 1, голубикой 1, ватрушкой 1, лимоном 1, свеклой 1, малиновым вареньем 1, маком 1, земляникой 1, маслом 1	18.604651	4.104611	21.7	3	1348.563953	1205.691860
51	Играя в футбол, мальчик упал и сломал	ногу	172	0	17	ногу 96, руку 46, нос 5, палец 4, ключицу 3, пальчик 3, шею 3, колено 2, лодыжку 2, игрушку 1, запястье 1, челюсть 1, желудок 1, руки 1, позвоночник 1, себе руку 1, ребро 1	55.813953	2.053506	459.2	2	2051.488372	1947.040698
52	Спортсмен получил травму и не принял участие в	соревнованиях	171	1	26	соревнованиях 111, соревновании 15, олимпиаде 12, забеге 5, состязании 3, матче 3, состязаниях 2, беге 2, чемпионате 1, банкете 1, спорте 1, награждении 1, турнире 1, Олимпийских играх 1, играх 1, игре 1, отпуске 1, спортакиаде 1, марафоне 1, экспедиции 1, шпионаже 1, дальнейших соревнованиях 1, афтепати 1, финале 1, в следующем туре 1, гонке 1	64.912281	2.266259	32.7	6	973.298246	788.748538
53	Класс отправился с экскурсией в	музей	172	0	56	музей 70, поход 11, зоопарк 8, Москву 7, лес 6, горы 5, город 4, театр 3, другой город 3, кино 3, Кремль 3, планетарий 2, Карелию 2, Суздаль 2, Париж 2, путешествие 1, пригород 1, галерею 1, Нижний Новгород 1, Кисловодск 1, море 1, Палеонтологический музей 1, Константинополь 1, школу 1, университет 1, Пушкин 1, Тибет 1, иностранные государства 1, Монино 1, Ростов-на-Дону 1, Эстонию 1, Санкт-Петербург 1, Новгород 1, пещеру 1, дом отдыха 1, сад 1, Японию 1, Англию 1, Крым 1, Ленинград 1, Петергоф 1, деревню 1, ресторан 1, санаторий 1, Польшу 1, Тарханы 1, замок 1, Петербург 1, шоколадную фабрику 1, Казань 1, Минск 1, Каргополь 1, парк культуры 1, Магадан 1, Питер 1, Америку 1	40.697674	4.095486	87.0	2	2055.970930	1737.319767
54	Открывая дверь, секретарша случайно уронила	ручку	167	5	41	ручку 22, ключи 18, вазу 15, папку 13, поднос 12, бумаги 9, кофе 8, ключ 7, стакан 7, чашку 7, стул 6, цветок 3, документы 3, пресс-папье 3, документ 2, чайник 2, чернильницу 2, папки 2, кружку 2, карандаш 2, чай 2, картину 1, блокнот 1, принтер 1, компьютер 1, микрофон 1, деньги 1, телефон 1, почту 1, чашку с кофе 1, ложку 1, журнал 1, дверь 1, калькулятор 1, степлер 1, тетрадь 1, кольцо 1, брошюру 1, посуду 1, презервативы 1, шкаф 1	13.173653	4.520513	57.6	2	2575.161677	2382.119760
55	В доме узбечка монотонно ткала	ковер	170	2	28	ковер 102, полотно 10, пряжу 9, ткань 8, скатерть 4, платье 3, холст 3, ковры 3, платок 3, одежду 3, шарф 2, плед 2, холсты 2, шаль 2, вещи 1, шерсть 1, дорожку 1, палантин 1, рушник 1, полотенце 1, одеяло 1, паранжу 1, палас 1, половик 1, коврик 1, рубашку 1, на станке 1, халат 1	60.000000	2.667565	29.5	2	2669.070588	2429.658824
56	Дворник выбросил обёртку в	урну	170	2	22	урну 65, мусорку 26, мусорное ведро 13, мусор 12, мусорный бак 8, корзину 6, помойку 6, мусорный ящик 6, ведро 5, бак 4, окно 3, ящик 3, мусорницу 2, унитаз 2, мусорник 2, мешок 1, корзину мусорную 1, контейнер 1, мусорный 1, мусорную корзину 1, мусоропровод 1, мусорную яму 1	38.235294	3.230336	7.8	2	1687.188235	1528.770588
57	Девушка вплела в волосы	ленту	166	6	24	ленту 70, цветок 20, цветы 17, ленты 8, бант 7, заколку 5, ленточку 5, косу 5, венок 5, розу 3, ромашку 3, резинку 2, бусы 2, косичку 2, бантики 2, ленточки 2, солому 1, банты 1, пряди 1, тесьму 1, нитки 1, чужой локон 1, змею 1, бантик 1	42.168675	3.190852	35.9	2	2274.686747	2126.897590
58	Соседка одолжила у меня	деньги	166	6	40	деньги 51, соль 42, денег 20, сахар 6, сто рублей 4, фен 3, соли 3, кастрюлю 2, телефон 2, три рубля 2, ключи 2, градусник 1, дуршлак 1, велосипед 1, ножницы 1, спички 1, сто грамм спирта 1, кофточку 1, платье 1, блокнот 1, марки 1, зубную пасту 1, картошку 1, кружку 1, нож 1, яйцо 1, сигареты 1, стул 1, часы 1, рубль 1, десять рублей 1, пистолет 1, чай 1, муку 1, электрочайник 1, пенал 1, фломастер 1, муки 1, шприц 1, карандаш 1	30.722892	3.500165	512.4	2	2158.987952	1923.403614
59	Посетитель вошёл и робко сел на	стул	171	1	16	стул 115, диван 19, скамейку 9, кресло 8, кушетку 3, краешек стула 3, табурет 3, стол 2, банкетку 2, краешек 1, лестнице 1, колени 1, скамью 1, стульчик 1, подоконник 1, лавочку 1	67.251462	1.928169	87.6	1	1415.286550	1329.473684
60	Учитель искренне похвалил	ученика	166	6	28	ученика 103, учеников 14, ученицу 9, меня 6, студента 6, работу 4, мальчика 2, Васю 2, жену 1, учащихся 1, себя 1, маму 1, своего ассистента 1, Валеру 1, школьника 1, школьницу 1, воспитанника 1, детей 1, директора 1, маму ученика 1, подчиненную 1, девочку 1, студентку 1, своего ученика 1, другого 1, за хорошую работу 1, хулигана 1, учащегося 1	62.048193	2.474067	80.4	4	2117.704819	1940.921687
61	После обеда Ваня допил вишнёвый	сок	172	0	10	сок 101, компот 50, морс 6, сироп 5, сидр 3, коктейль 2, чай 2, напиток 1, крюшон 1, кисель 1	58.720930	1.667274	35.8	1	1780.395349	1679.691860
62	Тётушка распускала старомодную	кофту	166	6	37	кофту 64, шаль 22, прическу 13, косу 11, юбку 6, сплетню 4, шутку 4, пряжу 3, одежду 3, вещь 2, кофточку 2, жилетку 2, байку 2, шляпу 2, вышивку 2, болтовню 2, шапку 2, вещи 1, платье 1, лампу 1, штору 1, вязаную вещь 1, сумку 1, вязь 1, вязаную кофту 1, речь 1, ленту 1, шевелюру 1, плесень 1, сумочку 1, тюль 1, безрукавку 1, газету 1, песню 1, выдумку 1, герань 1, скатерть 1	38.554217	3.608253	7.7	2	3150.530120	2953.620482
63	Продавец доверху наполнил пластиковый	пакет	169	3	14	пакет 76, стакан 60, контейнер 9, стаканчик 8, мешок 4, поднос 2, кувшин 2, сосуд 2, башмак 1, графин 1, горшок 1, ящик 1, кулек 1, флакон 1	44.970414	2.100375	65.8	2	2225.248521	2071.349112
64	После еды сержант облизал походную	ложку	170	2	18	ложку 119, миску 15, тарелку 10, вилку 4, кружку 4, чашку 3, кастрюлю 3, форму 2, плошку 1, женщину 1, рубашку 1, флягу 1, кровать 1, руку 1, посуду 1, кухню 1, палатку 1, трубку 1	70.000000	1.881063	40.5	2	2368.617647	2196.800000
65	Перед выходом девочка надела шерстяные	носки	172	0	14	носки 111, варежки 23, колготки 11, чулки 6, гольфы 5, носочки 4, перчатки 4, рейтузы 2, пальто 1, шарф 1, трусы 1, гольфики 1, руковички 1, тапочки 1	64.534884	1.953037	25.2	2	2059.226744	1936.627907
66	Бабушка замёрзла и закуталась в тёплый	плед	172	0	16	плед 78, платок 53, шарф 23, свитер 3, тулуп 2, пиджак 2, кафтан 2, кошелек 1, саван 1, мех 1, спальник 1, пододеяльник 1, шаль 1, кардиган 1, пуховик 1, халат 1	45.348837	2.143486	4.8	1	1821.424419	1556.854651
67	Сестра купила в посудном магазине фарфоровую	чашку	172	0	20	чашку 85, вазу 26, статуэтку 14, тарелку 12, куклу 8, посуду 5, кружку 5, чашу 4, миску 2, игрушку 1, шляпу 1, статую 1, супницу 1, салатницу 1, лампу 1, люстру 1, утварь 1, чашечку 1, конфетницу 1, кастрюлю 1	49.418605	2.655617	33.3	2	2197.819767	2027.674419
68	Бывшие коллеги вспоминают друг друга с горькой	усмешкой	166	6	26	усмешкой 30, улыбкой 23, иронией 22, обидой 20, досадой 12, тоской 10, радостью 7, грустью 6, ностальгией 5, ухмылкой 5, правдой 4, ненавистью 4, печалью 4, слезой 2, неохотой 1, час 1, усталостью 1, успешкой 1, участью 1, совестью 1, сожалением 1, слезинкой 1, ноткой 1, болью 1, завистью 1, теплотой 1	18.072289	3.782184	13.2	3	3193.192771	3035.903614
69	Маша связала свитер из тёплой	шерсти	170	2	5	шерсти 145, пряжи 19, ткани 4, козы 1, пряди 1	85.294118	0.763524	16.9	2	1975.711765	1864.052941
70	В пути пассажир читал увлекательную	книгу	167	5	14	книгу 106, историю 15, газету 14, книжку 10, повесть 7, пьесу 3, статью 3, поэму 2, литературу 2, брошюру 1, брошюрку 1, сказку 1, карикатуру 1, заметку 1	63.473054	2.045702	413.9	2	2009.311377	1908.556886
71	Графиня прятала записку в деревянном	ящике	170	2	23	ящике 50, сундуке 32, шкафу 27, сундучке 16, ящичке 8, комоде 7, ларце 6, столе 4, шкафчике 4, секретере 2, сейфе 2, пенале 1, дупле 1, брелке 1, поддоне 1, сарае 1, башмаке 1, коробке 1, чехле 1, саркофаге 1, доме 1, саквояже 1, ларчике 1	29.411765	3.210944	75.4	3	2651.529412	2460.029412
72	Первоклассник украшал ёлку яркими	игрушками	172	0	21	игрушками 67, шарами 44, гирляндами 20, шариками 15, огнями 4, фонариками 4, бусами 3, красками 2, конфети 1, бантами 1, картинками 1, камнями 1, лентами 1, цветами 1, флажками 1, лампочками 1, звездочками 1, звездами 1, снежинками 1, огоньками 1, словами 1	38.953488	2.691150	30.9	4	1959.988372	1825.087209
73	Музыкант играл на старинной	скрипке	168	4	20	скрипке 66, флейте 26, гитаре 25, арфе 12, виолончели 10, трубе 7, балалайке 4, дудочке 3, гармошке 3, лютне 2, рояли 1, гармонике 1, ложке 1, цитре 1, дудке 1, шарманке 1, домре 1, скрипкой 1, валторне 1, дуде 1	39.285714	2.912330	18.4	2	2349.583333	2259.077381
74	В сентябре директор школы взял на работу нового 	учителя	172	0	24	учителя 64, сотрудника 35, преподавателя 33, педагога 14, уборщика 3, завуча 2, стажера 2, ученика 2, секретаря 2, заместителя 1, сторожа 1, бегемота 1, программиста 1, бухгалтера 1, сотрудницу 1, специалиста 1, дворника 1, историка 1, тренера 1, физрука 1, химика 1, ассистента 1, трудовика 1, друга 1	37.209302	2.798080	113.8	4	1693.063953	1514.645349
75	Школьники боялись заблудиться в незнакомом	лесу	170	2	9	лесу 72, месте 57, городе 30, парке 3, районе 3, здании 2, замке 1, доме 1, лабиринте 1	42.352941	1.906886	211.5	2	1939.941176	1729.488235
76	Ровно в девять вечера бабушка ложится в тёплую	постель	171	1	6	постель 97, кровать 60, ванну 7, кроватку 4, постельку 2, ванную 1	56.725146	1.428049	63.4	2	1677.590643	1551.198830
77	Зрители отзывались о пьесе с искренним	восторгом	168	4	26	восторгом 62, восхищением 38, удивлением 16, удовольствием 14, уважением 5, сожалением 4, недовольством 3, сочувствием 3, недоумением 3, интересом 2, удовлетворением 2, чувством 2, мнением 1, разочарованием 1, отвращением 1, впечатлением 1, неудовольствием 1, изумлением 1, отзывом 1, волнением 1, раздражением 1, возбуждением 1, наслаждением 1, радушием 1, пожеланием 1, откровением 1	36.904762	3.072325	56.2	3	2481.059524	2271.005952
78	Мама увлечённо выращивала комнатные	растения	172	0	5	растения 92, цветы 76, фиалки 2, цветочки 1, помидоры 1	53.488372	1.164578	94.4	4	1723.988372	1498.215116
79	За чаем друг рассказывал смешные	истории	170	2	6	истории 122, анекдоты 43, рассказы 2, сказки 1, байки 1, случаи 1	71.764706	1.051277	443.9	4	1599.282353	1446.147059
80	Девочка гладила пушистую	кошку	170	2	26	кошку 128, собаку 7, кофту 4, кошечку 4, кофточку 3, юбку 3, белку 2, лошадь 1, собачку 1, козу 1, киску 1, шерсть кота 1, куклу 1, жилетку 1, лисичку 1, мышку 1, игрушку 1, подушку 1, рубашку 1, шапку 1, жаржетку 1, варежку 1, белочку 1, голову 1, шкуру 1, юбочку 1	75.294118	1.861384	50.4	2	2174.617647	2036.052941
81	В командировки военный брал с собой	чемодан	168	4	71	чемодан 27, жену 18, пистолет 10, фотографию 6, рюкзак 6, документы 6, портфель 5, бритву 5, автомат 4, нож 4, планшет 4, сына 3, оружие 3, вещи 2, книги 2, письмо 2, телефон 2, пулемет 2, книгу 2, флягу 2, кипятильник 2, вещмешок 2, сумку 1, друзей 1, саквояж 1, кружку 1, электрическую бритву 1, бумажник 1, бритвенный прибор 1, штаны 1, дневник 1, билет 1, самое необходимое 1, собаку 1, разговорник 1, шубу 1, билеты 1, книжку 1, запасные брюки 1, документ 1, наган 1, сигарету 1, кофе 1, карту 1, ноутбук 1, фотографию жены 1, полотенце 1, бутылку водки 1, обед 1, сухари 1, водку 1, еду 1, паспорт 1, фен 1, револьвер 1, ложку 1, кошелек 1, письма 1, компот 1, фотографии 1, бинокль 1, папку 1, мишку 1, бутерброд 1, шинель 1, талисман 1, вино 1, семью 1, чемоданчик 1, несессер 1, фотоаппарат 1	16.071429	5.261852	42.8	3	2756.625000	2689.244048
82	По заданию педагога студент чертит	чертеж	170	2	38	чертеж 67, круг 15, схему 11, окружность 7, проект 6, график 6, эскиз 6, квадрат 6, треугольник 5, деталь 4, план 3, чертежи 3, дом 3, диаграмму 2, линию 2, макет 2, прямоугольник 1, на бумаге 1, колесо 1, проекции 1, карту 1, чертенка 1, лампу 1, параллелепипед 1, картинку 1, на доске 1, фигуры 1, диплом 1, круги 1, лестницу 1, таблицу 1, планометрическую проекцию 1, модель 1, линии 1, пентограмму 1, план района 1, плакат 1, ерунду 1	39.411765	3.734979	17.0	2	3045.400000	2926.188235
83	Перед праздником секретарша украсила	кабинет	170	2	24	кабинет 59, офис 33, стол 21, елку 18, комнату 9, зал 5, дверь 4, приемную 4, окна 2, сад 1, окно 1, себя 1, стену 1, помещение цветами 1, салон 1, рабочее место 1, свой дом 1, начальника 1, помещение 1, гирляндами 1, свой стол 1, стены 1, свою голову 1, замок 1	34.705882	3.062466	148.5	3	2628.064706	2428.129412
84	Во дворе мальчишки весело играют в	футбол	171	1	27	футбол 67, прятки 26, мяч 18, волейбол 8, лапту 7, догонялки 6, хоккей 5, снежки 5, классики 5, шахматы 3, салки 3, игру 2, бадминтон 2, войну 1, покер 1, домино 1, баскетбол 1, салочки 1, игры 1, грязи 1, гонялки 1, бильярд 1, пол 1, города 1, веселые игры 1, гольф 1, скакалку 1	39.181287	3.258800	27.4	2	1180.456140	1078.754386
