№	Context	ART	min RT	max RT	stdev RT	ART'	min ART'	max ART'	stdev ART'
21	Садовница поливает высохшее	1751.682353	791.000000	3739.000000	533.492518	1620.388235	435.000000	3739.000000	582.920563
22	Летом мальчик катался на двухколёсном	1805.604651	1185.000000	3292.000000	419.187233	1661.465116	809.000000	3292.000000	502.040207
23	Художник точил цветной	1590.023256	907.000000	8132.000000	920.728803	1438.034884	527.000000	7880.000000	958.990357
24	На стене висела картина в бронзовой	2196.464286	497.000000	10852.000000	1352.202839	2080.595238	497.000000	10852.000000	1355.425120
25	Выпускница надела босоножки на высоких 	1602.682353	940.000000	3474.000000	486.089797	1420.188235	587.000000	3211.000000	525.645487
26	На экзамене студент допустил досадную	1591.952941	1007.000000	2542.000000	371.383863	1475.294118	603.000000	2376.000000	393.379643
27	Начальник резко высказал своё	1443.837209	574.000000	3554.000000	578.981192	1276.720930	300.000000	2848.000000	579.300078
28	В новом семестре студенты приступили к изучению испанского	1670.302326	994.000000	3805.000000	489.087628	1433.953488	504.000000	3805.000000	547.867629
29	Часто дети богатых родителей учатся в частных	1475.523256	854.000000	3249.000000	448.230553	1336.093023	378.000000	3249.000000	513.935419
30	Девочки хором пели весёлую	1593.569767	926.000000	3693.000000	552.808009	1496.348837	520.000000	3693.000000	593.267617
31	Именинник налил в стакан апельсиновый	1607.813953	1015.000000	3482.000000	442.037755	1498.093023	455.000000	3482.000000	493.479736
32	Брат прислушался и услышал из соседней комнаты женский	1550.776471	945.000000	3383.000000	490.568581	1400.776471	478.000000	3259.000000	552.712475
33	Начинающий актёр мечтал сняться хотя бы в каком-нибудь	1850.247059	1086.000000	4230.000000	620.071826	1730.552941	836.000000	4230.000000	647.276593
34	Марина взяла пульт и выключила надоевший	1820.790698	983.000000	5208.000000	658.540795	1609.965116	454.000000	5208.000000	689.927233
35	Сиделка сварила для больного куриный	1357.627907	843.000000	2261.000000	329.226046	1137.918605	352.000000	2261.000000	403.423853
36	Моя двоюродная сестра учится на химическом	1746.290698	1116.000000	2752.000000	387.869016	1562.895349	660.000000	2752.000000	481.840663
37	Невропатолог прописал мне успокоительные	2077.178571	1196.000000	8713.000000	934.835224	1959.845238	972.000000	8713.000000	947.565257
38	Жених подарил бриллиантовое кольцо своей	1545.593023	661.000000	4755.000000	649.453388	1418.500000	401.000000	4755.000000	673.569906
39	Сергей размешивал чай серебряной	1538.348837	169.000000	3050.000000	418.523224	1441.151163	169.000000	2952.000000	438.203432
40	Житель дома решил написать мэру анонимное	1801.616279	1064.000000	5196.000000	642.295720	1706.488372	816.000000	5196.000000	664.832376
41	По утрам почтальон неспешно разносит	1850.220930	958.000000	4408.000000	685.738956	1652.732558	510.000000	4229.000000	694.790691
42	Крестьянин вчера усердно полол	2202.686047	931.000000	7349.000000	1016.699021	2051.627907	731.000000	7349.000000	1057.636211
43	В начале занятия ученик лениво открыл	1767.406977	814.000000	3798.000000	572.949590	1628.337209	458.000000	3798.000000	607.684876
44	На лугу пастушка неумело стригла	2060.517647	980.000000	6253.000000	900.093059	1876.541176	625.000000	6076.000000	906.607012
45	Воспитанница с гувернанткой учили наизусть	1755.447059	915.000000	6557.000000	764.568934	1581.258824	470.000000	5835.000000	771.108836
46	Актриса мечтает похудеть и отказывается от	1595.952941	426.000000	5942.000000	946.404674	1238.670588	141.000000	5942.000000	988.836021
47	За старательную работу директор выплатил сотрудникам	1951.709302	1141.000000	8603.000000	1011.126825	1815.755814	691.000000	8603.000000	1041.087756
48	Сосед любит зимой кататься на	1167.430233	181.000000	3189.000000	583.998500	1038.895349	173.000000	3189.000000	597.556811
49	Отдыхающие загорали и купались в	1518.917647	527.000000	8037.000000	957.316726	1281.976471	245.000000	3904.000000	672.122189
50	Бабушка испекла вкусные пирожки с 	1262.116279	442.000000	4104.000000	601.081289	1153.302326	122.000000	3992.000000	638.720690
51	Играя в футбол, мальчик упал и сломал	1906.081395	925.000000	11501.000000	1375.028506	1834.523256	538.000000	11501.000000	1401.657403
52	Спортсмен получил травму и не принял участие в	904.546512	293.000000	3134.000000	505.060105	737.058140	43.000000	3134.000000	525.668479
53	Класс отправился с экскурсией в	1669.837209	475.000000	6214.000000	803.002774	1452.441860	101.000000	5731.000000	793.388231
54	Открывая дверь, секретарша случайно уронила	2222.400000	1040.000000	6437.000000	889.330007	2069.411765	814.000000	6437.000000	892.021504
55	В доме узбечка монотонно ткала	2729.797619	1193.000000	9252.000000	1308.502048	2563.559524	993.000000	9134.000000	1335.276844
56	Дворник выбросил обёртку в	1392.547619	109.000000	3850.000000	504.404991	1242.845238	109.000000	3393.000000	538.424352
57	Девушка вплела в волосы	2028.845238	971.000000	4266.000000	682.556225	1887.630952	554.000000	3697.000000	684.602405
58	Соседка одолжила у меня	1894.670588	787.000000	5439.000000	710.831528	1727.600000	439.000000	4865.000000	704.239174
59	Посетитель вошёл и робко сел на	1369.470588	421.000000	7269.000000	842.256897	1287.070588	421.000000	7133.000000	839.621539
60	Учитель искренне похвалил	1906.690476	587.000000	4117.000000	660.080973	1747.464286	305.000000	3583.000000	681.886088
61	После обеда Ваня допил вишнёвый	1600.255814	862.000000	2855.000000	421.759680	1517.406977	588.000000	2855.000000	445.975952
62	Тётушка распускала старомодную	3306.988095	261.000000	9299.000000	1788.418205	3098.226190	261.000000	9005.000000	1786.364082
63	Продавец доверху наполнил пластиковый	1893.883721	1082.000000	4661.000000	680.812912	1763.581395	627.000000	4661.000000	735.552317
64	После еды сержант облизал походную	2369.511628	854.000000	9765.000000	1391.535088	2214.209302	744.000000	9537.000000	1329.504588
65	Перед выходом девочка надела шерстяные	1681.534884	923.000000	2953.000000	488.096656	1558.383721	642.000000	2953.000000	512.056021
66	Бабушка замёрзла и закуталась в тёплый	1640.569767	812.000000	5079.000000	750.691094	1424.732558	387.000000	5079.000000	798.394145
67	Сестра купила в посудном магазине фарфоровую	2035.523256	1109.000000	4650.000000	697.047179	1918.709302	709.000000	4650.000000	754.929991
68	Бывшие коллеги вспоминают друг друга с горькой	3031.174419	1053.000000	10318.000000	1995.656756	2888.720930	684.000000	9798.000000	1989.247849
69	Маша связала свитер из тёплой	1782.564706	911.000000	4032.000000	609.528476	1672.741176	658.000000	4032.000000	615.909048
70	В пути пассажир читал увлекательную	1774.602410	856.000000	3576.000000	406.660371	1679.216867	148.000000	3576.000000	456.785456
71	Графиня прятала записку в деревянном	2151.905882	1161.000000	5711.000000	834.024860	1986.823529	665.000000	5387.000000	892.495447
72	Первоклассник украшал ёлку яркими	1815.104651	617.000000	3867.000000	657.220082	1699.779070	438.000000	3867.000000	697.476922
73	Музыкант играл на старинной	1977.107143	1039.000000	4988.000000	690.347843	1872.059524	751.000000	4988.000000	713.992412
74	В сентябре директор школы взял на работу нового 	1529.081395	890.000000	3105.000000	468.360601	1385.465116	459.000000	3105.000000	537.348954
75	Школьники боялись заблудиться в незнакомом	1741.662791	1091.000000	3235.000000	471.977009	1553.872093	539.000000	3235.000000	551.779257
76	Ровно в девять вечера бабушка ложится в тёплую	1556.813953	855.000000	2530.000000	393.539579	1458.046512	582.000000	2890.000000	459.369514
77	Зрители отзывались о пьесе с искренним	2117.011628	1081.000000	10554.000000	1157.771343	1929.918605	692.000000	9898.000000	1160.220894
78	Мама увлечённо выращивала комнатные	1585.116279	955.000000	3349.000000	407.245682	1392.558140	422.000000	3349.000000	486.537384
79	За чаем друг рассказывал смешные	1433.726190	906.000000	2213.000000	285.719567	1287.119048	512.000000	2213.000000	368.630857
80	Девочка гладила пушистую	1799.290698	1023.000000	5561.000000	715.268306	1671.988372	639.000000	5561.000000	752.163304
81	В командировки военный брал с собой	2355.282353	766.000000	6320.000000	1046.117591	2273.670588	514.000000	5919.000000	1053.457972
82	По заданию педагога студент чертит	2433.800000	1150.000000	5946.000000	1093.144011	2336.505882	889.000000	5946.000000	1106.879081
83	Перед праздником секретарша украсила	2209.209302	1181.000000	5923.000000	811.276063	2020.348837	753.000000	5923.000000	862.278388
84	Во дворе мальчишки весело играют в	1190.081395	317.000000	3338.000000	578.493321	1099.627907	141.000000	3338.000000	609.377523
85	Неловкий официант споткнулся и пролил чай на	1421.546512	471.000000	4630.000000	676.922789	1332.813953	364.000000	4630.000000	670.717816
86	Троечник неожиданно удачно написал контрольную работу по	1287.404762	422.000000	2782.000000	467.301459	1193.190476	166.000000	2782.000000	501.772556
87	Бухгалтер нещадно критикует себя за	2018.581395	562.000000	6613.000000	1007.117067	1891.651163	501.000000	6613.000000	1013.160039
88	Консьержка раз в месяц мыла	2050.348837	930.000000	10904.000000	1190.609165	1945.558140	569.000000	10203.000000	1165.694205
89	Семейная пара мечтала следующим летом отдохнуть в	1840.802326	380.000000	6475.000000	1068.325560	1735.104651	200.000000	6218.000000	1062.034474
90	В зоопарке дети впервые увидели	1743.120482	420.000000	4015.000000	602.257955	1636.481928	222.000000	4015.000000	669.727509
91	На рынке фермер недорого продавал 	1917.282353	957.000000	3752.000000	625.262642	1775.082353	624.000000	3752.000000	674.328929
92	Посетители радостно фотографировались на фоне	2354.440476	1053.000000	7459.000000	1106.364342	2151.309524	619.000000	7459.000000	1172.950979
93	Депутат обвинил мэра в	1916.120482	519.000000	7069.000000	1111.187438	1839.349398	519.000000	7069.000000	1127.175495
94	Выходя из дома, я забыла взять 	1713.247059	746.000000	5172.000000	758.478237	1578.011765	442.000000	5172.000000	793.539261
95	Директор ещё не вернулся из	1321.953488	496.000000	5564.000000	741.961405	1152.534884	143.000000	5564.000000	738.948979
96	В этом кафе студент всегда заказывал	1895.523256	1026.000000	3912.000000	514.472150	1785.558140	675.000000	3115.000000	530.736084
97	Графиня хранила драгоценности в 	1580.440476	534.000000	8766.000000	1146.242140	1354.678571	96.000000	8766.000000	1124.110402
98	На праздник мама подарила сыну	2098.858824	852.000000	5090.000000	766.039554	1982.811765	732.000000	4542.000000	773.346646
99	Художник изобразил на картине	2248.566265	1091.000000	5903.000000	700.688741	2113.722892	988.000000	5903.000000	730.747301
100	Мы вернулись в кафе и забрали забытый	2116.388235	1073.000000	5533.000000	910.228073	1959.211765	502.000000	4832.000000	930.224270
101	Наместник императора прославился своей	2359.976190	933.000000	6975.000000	1280.033668	2152.928571	453.000000	6975.000000	1343.184382
102	Туристы восхищались живописной	2341.869048	1218.000000	7053.000000	1089.772572	2158.047619	626.000000	7053.000000	1141.316877
103	Девушка надела бордовые	2270.744186	1127.000000	5944.000000	1013.825686	2142.197674	793.000000	5739.000000	1023.195304
104	Дошкольник взял фломастер и нарисовал оранжевый	2081.576471	1011.000000	4641.000000	695.110412	1911.329412	711.000000	4641.000000	749.226480
105	Сестра волновалась перед важным	1500.279070	794.000000	4287.000000	624.289934	1419.034884	468.000000	4287.000000	661.322764
106	Из шкафа мама достала старую	2133.779070	1096.000000	7884.000000	977.731509	2014.697674	663.000000	7884.000000	990.876772
107	Вернувшись в офис после отпуска, секретарша заметила новый	2479.023256	1034.000000	8066.000000	1221.993164	2323.069767	541.000000	8066.000000	1242.854909
108	На кухне дочка доедает вкусный	1642.235294	951.000000	3343.000000	479.892440	1492.294118	557.000000	3343.000000	509.654431
109	Прохожие еле разминулись на узкой	1620.232558	900.000000	3121.000000	462.182920	1450.581395	526.000000	3121.000000	540.027025
110	В киоске продавались сувениры из светло-серой	3185.761905	1458.000000	9440.000000	1392.235756	3026.678571	1045.000000	9166.000000	1403.295237
111	Ассистент обратился за помощью к своей	2534.058824	1155.000000	7613.000000	1293.484371	2343.717647	680.000000	7613.000000	1334.945813
112	Лектор увлечённо рассказывал о недавнем	2146.209302	1110.000000	5096.000000	822.117426	1986.023256	558.000000	4478.000000	852.424611
113	Андрей устал нести тяжёлый	1779.084337	827.000000	7303.000000	919.544641	1656.807229	523.000000	7303.000000	920.541681
114	Грабители украли из квартиры ценный	2735.783133	986.000000	12173.000000	1844.890234	2619.240964	544.000000	12173.000000	1854.195602
115	Моя крестница живёт прямо напротив местного	2695.059524	1080.000000	9633.000000	1696.133891	2604.523810	608.000000	9633.000000	1728.553832
116	Ирина зашла на вещевой рынок и купила недорогую	2386.564706	1267.000000	7334.000000	1170.557005	2232.552941	598.000000	7016.000000	1199.770132
117	Парижанин с гостьей гуляли по окрестным	2518.729412	433.000000	6768.000000	1131.397423	2366.258824	433.000000	6768.000000	1039.651431
118	Анна обожала посещать субботние	2330.258824	1111.000000	6588.000000	979.755037	2179.035294	798.000000	6348.000000	986.008843
119	Всю жизнь дедушка собирал антикварные	2616.151163	1198.000000	7520.000000	1238.599727	2511.965116	880.000000	7520.000000	1211.486549
